# 吸音率テーブルのサンプル
#
# ★ 吸音率の「種類」を必ず宣言してください ★
#   下の `# kind:` 行で、この表の値が何かを示します。
#     normal … 垂直入射（法線入射）吸音率。音響管（インピーダンス管）で測ったもの
#     random … 残響室法（乱入射）吸音率。残響室で測ったもの。1 を超えることがある
#   宣言が無いと垂直入射として扱われ、警告が出ます。
#   残響室法の値は Paris の式で自動的に垂直入射へ変換されます（geosim/absorption.py）。
#   取り違えると吸音を大きく誤ります（残響室法 0.50 は垂直入射では 0.34 相当）。
#
# kind: normal
#
# 1列目 : DXF のレイヤ名、または材料名。
#          レイヤ名と材料名を分けたい場合は LayerAssignment（レイヤ→材料の対応 JSON）を使う。
#          そうすれば CAD を編集せずに材料を差し替えられる。
# 2列目〜: オクターブバンド別の吸音率。
#          **8 バンド（63〜8000 Hz）が既定**。63 Hz と 8 kHz を対象外にする場合は
#          6 バンド（125〜4000 Hz）でもよい（列数から自動判別する）。
#          バンド数が計算側と違う場合は端の値を複製／切り詰めして合わせ、注意を表示する。
#
# 行頭 # の行と空行は読み飛ばされる。ヘッダ行も数値変換に失敗するので自動で飛ばされる。
#
material,63,125,250,500,1000,2000,4000,8000
# --- test.dxf 用（レイヤ名が数値ID） ---
1,0.02,0.02,0.03,0.04,0.05,0.05,0.06,0.06
2,0.10,0.10,0.12,0.15,0.18,0.20,0.22,0.22
3,0.30,0.35,0.45,0.60,0.70,0.75,0.70,0.65
# --- レイヤ名を材料名にする場合の例 ---
コンクリート,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.05
石膏ボード,0.20,0.15,0.10,0.06,0.05,0.04,0.04,0.04
グラスウール25mm,0.10,0.15,0.35,0.65,0.85,0.90,0.85,0.80
カーペット,0.03,0.05,0.10,0.20,0.35,0.45,0.50,0.55
ガラス,0.40,0.35,0.25,0.18,0.12,0.07,0.04,0.04
